"TAX","GEO","TIME","UNIT","Value"
"Total environmental taxes","Belgium","2009","Percentage of gross domestic product (GDP)","2,18"
"Total environmental taxes","Belgium","2010","Million euro","8.067,5"
"Total environmental taxes","Belgium","2010","Million units of national currency","8.067,5"
"Total environmental taxes","Belgium","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,86"
"Total environmental taxes","Belgium","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,13"
"Total environmental taxes","Belgium","2010","Percentage of gross domestic product (GDP)","2,21"
"Total environmental taxes","Belgium","2011","Million euro","8.529,3"
"Total environmental taxes","Belgium","2011","Million units of national currency","8.529,3"
"Total environmental taxes","Belgium","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,87"
"Total environmental taxes","Belgium","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,15"
"Total environmental taxes","Belgium","2011","Percentage of gross domestic product (GDP)","2,25"
"Total environmental taxes","Belgium","2012","Million euro","8.313,7"
"Total environmental taxes","Belgium","2012","Million units of national currency","8.313,7"
"Total environmental taxes","Belgium","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,54"
"Total environmental taxes","Belgium","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,79"
"Total environmental taxes","Belgium","2012","Percentage of gross domestic product (GDP)","2,15"
"Total environmental taxes","Belgium","2013","Million euro","8.129"
"Total environmental taxes","Belgium","2013","Million units of national currency","8.129"
"Total environmental taxes","Belgium","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,3"
"Total environmental taxes","Belgium","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,54"
"Total environmental taxes","Belgium","2013","Percentage of gross domestic product (GDP)","2,07"
"Total environmental taxes","Belgium","2014","Million euro","8.337,3"
"Total environmental taxes","Belgium","2014","Million units of national currency","8.337,3"
"Total environmental taxes","Belgium","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,33"
"Total environmental taxes","Belgium","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,58"
"Total environmental taxes","Belgium","2014","Percentage of gross domestic product (GDP)","2,08"
"Total environmental taxes","Belgium","2015","Million euro","8.659,4"
"Total environmental taxes","Belgium","2015","Million units of national currency","8.659,4"
"Total environmental taxes","Belgium","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,43"
"Total environmental taxes","Belgium","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,67"
"Total environmental taxes","Belgium","2015","Percentage of gross domestic product (GDP)","2,11"
"Total environmental taxes","Belgium","2016","Million euro","9.374,9"
"Total environmental taxes","Belgium","2016","Million units of national currency","9.374,9"
"Total environmental taxes","Belgium","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,73"
"Total environmental taxes","Belgium","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,98"
"Total environmental taxes","Belgium","2016","Percentage of gross domestic product (GDP)","2,21"
"Total environmental taxes","Belgium","2017","Million euro","9.826,7"
"Total environmental taxes","Belgium","2017","Million units of national currency","9.826,7"
"Total environmental taxes","Belgium","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,74"
"Total environmental taxes","Belgium","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,99"
"Total environmental taxes","Belgium","2017","Percentage of gross domestic product (GDP)","2,24"
"Total environmental taxes","Bulgaria","1995","Million euro","183,71"
"Total environmental taxes","Bulgaria","1995","Million units of national currency","16,15"
"Total environmental taxes","Bulgaria","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,9"
"Total environmental taxes","Bulgaria","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,95"
